WEATHER.windDirection,WEATHER.windRelativeDirection,WEATHER.windSpeed [MPH],WEATHER.maxWindSpeed [MPH],WEATHER.windStrength,WEATHER.isFacingWind,WEATHER.isFlyingIntoWind,TimeStamp
,,,,Calm,False,False,2023-11-01:10:57:49
,,,,Calm,False,False,2023-11-01:10:57:49
,,,,Calm,False,False,2023-11-01:10:57:49
,,,,Calm,False,False,2023-11-01:10:57:49
,,,,Calm,False,False,2023-11-01:10:57:49
,,,,Calm,False,False,2023-11-01:10:57:49
,,,,Calm,False,False,2023-11-01:10:57:49
,,,,Calm,False,False,2023-11-01:10:57:49
,,,,Calm,False,False,2023-11-01:10:57:49
,,,,Calm,False,False,2023-11-01:10:57:49
,,,,Calm,False,False,2023-11-01:10:57:50
,,,,Calm,False,False,2023-11-01:10:57:50
,,,,Calm,False,False,2023-11-01:10:57:50
,,,,Calm,False,False,2023-11-01:10:57:50
,,,,Calm,False,False,2023-11-01:10:57:50
,,,,Calm,False,False,2023-11-01:10:57:50
,,,,Calm,False,False,2023-11-01:10:57:50
,,,,Calm,False,False,2023-11-01:10:57:50
,,,,Calm,False,False,2023-11-01:10:57:50
,,,,Calm,False,False,2023-11-01:10:57:50
,,,,Calm,False,False,2023-11-01:10:57:51
,,,,Calm,False,False,2023-11-01:10:57:51
,,,,Calm,False,False,2023-11-01:10:57:51
,,,,Calm,False,False,2023-11-01:10:57:51
,,,,Calm,False,False,2023-11-01:10:57:51
,,,,Calm,False,False,2023-11-01:10:57:51
,,,,Calm,False,False,2023-11-01:10:57:51
,,,,Calm,False,False,2023-11-01:10:57:51
,,,,Calm,False,False,2023-11-01:10:57:51
,,,,Calm,False,False,2023-11-01:10:57:51
,,,,Calm,False,False,2023-11-01:10:57:52
,,,,Calm,False,False,2023-11-01:10:57:52
,,,,Calm,False,False,2023-11-01:10:57:52
,,,,Calm,False,False,2023-11-01:10:57:52
,,,,Calm,False,False,2023-11-01:10:57:52
,,,,Calm,False,False,2023-11-01:10:57:52
