raw_ts,ts,sn1,sn2,U,V,T,BatteryPct,BattV,BattC,VectorMag,VectorDir
23:11:01:17:39:22.316,2023-11-01T17:39:22.316Z,150,151,-0.9,-0.21,19.78,100.0,4.16,0.0,0.9241753080449618,76.86597769360367
23:11:01:17:39:22.520,2023-11-01T17:39:22.520Z,150,151,-0.87,-0.5,19.85,100.0,4.16,0.0,1.0034440691936946,60.113473059575995
23:11:01:17:39:22.719,2023-11-01T17:39:22.719Z,150,151,-0.8,-0.7,19.97,100.0,4.16,0.0,1.063014581273465,48.81407483429035
23:11:01:17:39:22.918,2023-11-01T17:39:22.918Z,150,151,-0.77,-0.54,19.85,100.0,4.16,0.0,0.9404786015641186,54.958070598461006
23:11:01:17:39:23.117,2023-11-01T17:39:23.117Z,150,151,-0.8,-0.53,20.14,100.0,4.16,0.0,0.9596353474106715,56.47552675142305
23:11:01:17:39:23.316,2023-11-01T17:39:23.316Z,150,151,-0.82,-0.47,20.29,100.0,4.17,0.0,0.9451454914456292,60.179927434526235
23:11:01:17:39:23.520,2023-11-01T17:39:23.520Z,150,151,-0.93,-0.32,20.45,100.0,4.17,0.0,0.98351410767716,71.01237591212987
23:11:01:17:39:23.719,2023-11-01T17:39:23.719Z,150,151,-0.76,-0.29,20.55,100.0,4.17,0.0,0.8134494452638098,69.11419853930698
23:11:01:17:39:23.918,2023-11-01T17:39:23.918Z,150,151,-0.69,-0.46,20.36,100.0,4.17,0.0,0.8292767933567176,56.30993247402023
23:11:01:17:39:24.117,2023-11-01T17:39:24.117Z,150,151,-0.77,-0.41,20.45,100.0,4.17,0.0,0.8723531395025754,61.96614810853623
23:11:01:17:39:24.316,2023-11-01T17:39:24.316Z,150,151,-0.85,-0.49,20.22,100.0,4.17,0.0,0.9811218069128828,60.037815903582214
23:11:01:17:39:24.520,2023-11-01T17:39:24.520Z,150,151,-0.7,-0.62,20.62,100.0,4.17,0.0,0.9350935782048767,48.46822925891718
23:11:01:17:39:24.719,2023-11-01T17:39:24.719Z,150,151,-0.93,-0.73,20.58,100.0,4.17,0.0,1.182285921425101,51.86999230821425
23:11:01:17:39:24.918,2023-11-01T17:39:24.918Z,150,151,-0.8,-0.74,20.85,100.0,4.17,0.0,1.0897706180660223,47.23117460803127
23:11:01:17:39:25.117,2023-11-01T17:39:25.117Z,150,151,-0.85,-0.46,21.09,100.0,4.17,0.0,0.9664884893261791,61.578790775473124
23:11:01:17:39:25.316,2023-11-01T17:39:25.316Z,150,151,-0.91,-0.35,21.14,100.0,4.17,0.0,0.9749871794028884,68.96248897457815
23:11:01:17:39:25.520,2023-11-01T17:39:25.520Z,150,151,-0.99,-0.4,21.06,100.0,4.17,0.0,1.067754653466797,67.99930164945943
23:11:01:17:39:25.719,2023-11-01T17:39:25.719Z,150,151,-1.07,-0.52,20.47,100.0,4.17,0.0,1.1896638180595391,64.08111442895358
23:11:01:17:39:25.918,2023-11-01T17:39:25.918Z,150,151,-0.91,-0.49,20.37,100.0,4.17,0.0,1.0335376142163382,61.699244233993625
23:11:01:17:39:26.117,2023-11-01T17:39:26.117Z,150,151,-1.03,-0.5,19.8,100.0,4.17,0.0,1.1449454135459909,64.10635300577201
23:11:01:17:39:26.316,2023-11-01T17:39:26.316Z,150,151,-1.23,-0.56,19.73,100.0,4.16,0.0,1.351480669488099,65.52095901483688
23:11:01:17:39:26.520,2023-11-01T17:39:26.520Z,150,151,-0.89,-0.24,19.72,100.0,4.16,0.0,0.9217917335276987,74.90842732140516
23:11:01:17:39:26.719,2023-11-01T17:39:26.719Z,150,151,-0.87,-0.35,19.87,100.0,4.16,0.0,0.9377632963600143,68.0851336728083
23:11:01:17:39:26.918,2023-11-01T17:39:26.918Z,150,151,-0.83,-0.33,19.81,100.0,4.16,0.0,0.8931965069345043,68.31770838675504
23:11:01:17:39:27.117,2023-11-01T17:39:27.117Z,150,151,-1.01,-0.38,19.63,100.0,4.16,0.0,1.0791200118615167,69.38181187689554
23:11:01:17:39:27.316,2023-11-01T17:39:27.316Z,150,151,-0.9,-0.26,19.77,100.0,4.17,0.0,0.9368030742904295,73.8865817669107
23:11:01:17:39:27.520,2023-11-01T17:39:27.520Z,150,151,-1.06,-0.29,19.92,100.0,4.17,0.0,1.0989540481748998,74.69915442754996
23:11:01:17:39:27.719,2023-11-01T17:39:27.719Z,150,151,-1.11,-0.4,19.95,100.0,4.17,0.0,1.1798728745080973,70.18284748038104
23:11:01:17:39:27.918,2023-11-01T17:39:27.918Z,150,151,-1.18,-0.68,20.01,100.0,4.17,0.0,1.3619104228986574,60.04639183219854
23:11:01:17:39:28.117,2023-11-01T17:39:28.117Z,150,151,-1.1,-0.6,20.27,100.0,4.17,0.0,1.252996408614167,61.38954033403479
23:11:01:17:39:28.316,2023-11-01T17:39:28.316Z,150,151,-1.0,-0.52,20.21,100.0,4.17,0.0,1.1271202242884297,62.52556837372288
23:11:01:17:39:28.520,2023-11-01T17:39:28.520Z,150,151,-1.04,-0.52,20.15,100.0,4.17,0.0,1.1627553482998907,63.434948822922024
23:11:01:17:39:28.719,2023-11-01T17:39:28.719Z,150,151,-0.92,-0.57,20.44,100.0,4.17,0.0,1.082266141020775,58.21908490701662
23:11:01:17:39:28.918,2023-11-01T17:39:28.918Z,150,151,-0.98,-0.57,20.53,100.0,4.17,0.0,1.1337107214805724,59.81631934277766
23:11:01:17:39:29.117,2023-11-01T17:39:29.117Z,150,151,-1.1,-0.46,20.72,100.0,4.17,0.0,1.1923086848631106,67.30620505490765
23:11:01:17:39:29.316,2023-11-01T17:39:29.316Z,150,151,-1.07,-0.53,20.62,100.0,4.17,0.0,1.1940686747419513,63.64953875405138
23:11:01:17:39:29.520,2023-11-01T17:39:29.520Z,150,151,-1.14,-0.5,20.5,100.0,4.17,0.0,1.2448293055676347,66.3179122754616
23:11:01:17:39:29.719,2023-11-01T17:39:29.719Z,150,151,-0.97,-0.51,20.65,100.0,4.17,0.0,1.0959014554237987,62.265809495014594
23:11:01:17:39:29.918,2023-11-01T17:39:29.918Z,150,151,-0.89,-0.57,20.64,100.0,4.17,0.0,1.0568822072492279,57.362492415714314
23:11:01:17:39:30.117,2023-11-01T17:39:30.117Z,150,151,-0.97,-0.46,20.7,100.0,4.17,0.0,1.0735455276791943,64.62843824690401
23:11:01:17:39:30.316,2023-11-01T17:39:30.316Z,150,151,-0.79,-0.43,20.94,100.0,4.17,0.0,0.8994442728707543,61.44037952168014
23:11:01:17:39:30.520,2023-11-01T17:39:30.520Z,150,151,-0.7,-0.41,21.16,100.0,4.17,0.0,0.8112336284942827,59.64188454123337
23:11:01:17:39:30.719,2023-11-01T17:39:30.719Z,150,151,-0.83,-0.41,21.24,100.0,4.17,0.0,0.9257429448826494,63.71173787509974
23:11:01:17:39:30.918,2023-11-01T17:39:30.918Z,150,151,-0.87,-0.32,20.89,100.0,4.17,0.0,0.9269843580125827,69.805665754816
23:11:01:17:39:31.117,2023-11-01T17:39:31.117Z,150,151,-0.94,-0.38,20.72,100.0,4.17,0.0,1.0139033484509261,67.9887168020806
23:11:01:17:39:31.316,2023-11-01T17:39:31.316Z,150,151,-1.02,-0.49,20.07,100.0,4.17,0.0,1.131591799192624,64.34073548303269
23:11:01:17:39:31.520,2023-11-01T17:39:31.520Z,150,151,-0.95,-0.47,20.16,100.0,4.17,0.0,1.0599056561788884,63.67670173219011
23:11:01:17:39:31.719,2023-11-01T17:39:31.719Z,150,151,-0.99,-0.49,20.06,100.0,4.17,0.0,1.1046266337545914,63.66691427422023
23:11:01:17:39:31.918,2023-11-01T17:39:31.918Z,150,151,-1.0,-0.4,19.99,100.0,4.17,0.0,1.077032961426901,68.19859051364818
23:11:01:17:39:32.117,2023-11-01T17:39:32.117Z,150,151,-1.05,-0.47,19.83,100.0,4.17,0.0,1.1503912377969505,65.88580146069307
23:11:01:17:39:32.316,2023-11-01T17:39:32.316Z,150,151,-1.03,-0.55,19.89,100.0,4.17,0.0,1.1676472069936192,61.89864869403823
23:11:01:17:39:32.520,2023-11-01T17:39:32.520Z,150,151,-1.11,-0.58,19.86,100.0,4.17,0.0,1.2523977004130917,62.41191863425422
23:11:01:17:39:32.719,2023-11-01T17:39:32.719Z,150,151,-1.19,-0.66,19.82,100.0,4.17,0.0,1.3607718398026907,60.98629223909762
23:11:01:17:39:32.918,2023-11-01T17:39:32.918Z,150,151,-1.21,-0.48,19.84,100.0,4.17,0.0,1.3017296186228535,68.36205877057102
23:11:01:17:39:33.117,2023-11-01T17:39:33.117Z,150,151,-1.23,-0.36,19.8,100.0,4.17,0.0,1.2816005617976296,73.6861475737395
