CUSTOM.updateTime [local],WEATHER.windDirection,WEATHER.windRelativeDirection,WEATHER.windSpeed [MPH],WEATHER.maxWindSpeed [MPH],WEATHER.windStrength,WEATHER.isFacingWind,WEATHER.isFlyingIntoWind,Drone_Time(UTC+RFC3339),Drone_Time(PST)_Clean,Drone_Direction,WindSpeed(m/s)
2:37:31.56 PM,NAN,,,,Calm,False,False,2023-11-01T21:37:31.560Z,2023-11-01T14:37:31.560000-07:00,,
2:37:31.65 PM,NAN,,,,Calm,False,False,2023-11-01T21:37:31.650Z,2023-11-01T14:37:31.650000-07:00,,
2:37:31.75 PM,NAN,,,,Calm,False,False,2023-11-01T21:37:31.750Z,2023-11-01T14:37:31.750000-07:00,,
2:37:31.85 PM,NAN,,,,Calm,False,False,2023-11-01T21:37:31.850Z,2023-11-01T14:37:31.850000-07:00,,
2:37:31.96 PM,NAN,,,,Calm,False,False,2023-11-01T21:37:31.960Z,2023-11-01T14:37:31.960000-07:00,,
2:37:32.06 PM,NAN,,,,Calm,False,False,2023-11-01T21:37:32.060Z,2023-11-01T14:37:32.060000-07:00,,
2:37:32.16 PM,NAN,,,,Calm,False,False,2023-11-01T21:37:32.160Z,2023-11-01T14:37:32.160000-07:00,,
2:37:32.26 PM,NAN,,,,Calm,False,False,2023-11-01T21:37:32.260Z,2023-11-01T14:37:32.260000-07:00,,
2:37:32.37 PM,NAN,,,,Calm,False,False,2023-11-01T21:37:32.370Z,2023-11-01T14:37:32.370000-07:00,,
2:37:32.47 PM,NAN,,,,Calm,False,False,2023-11-01T21:37:32.470Z,2023-11-01T14:37:32.470000-07:00,,
2:37:32.57 PM,NAN,,,,Calm,False,False,2023-11-01T21:37:32.570Z,2023-11-01T14:37:32.570000-07:00,,
2:37:32.67 PM,NAN,,,,Calm,False,False,2023-11-01T21:37:32.670Z,2023-11-01T14:37:32.670000-07:00,,
2:37:32.77 PM,NAN,,,,Calm,False,False,2023-11-01T21:37:32.770Z,2023-11-01T14:37:32.770000-07:00,,
2:37:32.84 PM,NAN,,,,Calm,False,False,2023-11-01T21:37:32.840Z,2023-11-01T14:37:32.840000-07:00,,
2:37:32.98 PM,NAN,,,,Calm,False,False,2023-11-01T21:37:32.980Z,2023-11-01T14:37:32.980000-07:00,,
2:37:33.04 PM,NAN,,,,Calm,False,False,2023-11-01T21:37:33.040Z,2023-11-01T14:37:33.040000-07:00,,
2:37:33.14 PM,NAN,,,,Calm,False,False,2023-11-01T21:37:33.140Z,2023-11-01T14:37:33.140000-07:00,,
2:37:33.24 PM,NAN,,,,Calm,False,False,2023-11-01T21:37:33.240Z,2023-11-01T14:37:33.240000-07:00,,
2:37:33.34 PM,NAN,,,,Calm,False,False,2023-11-01T21:37:33.340Z,2023-11-01T14:37:33.340000-07:00,,
2:37:33.44 PM,NAN,,,,Calm,False,False,2023-11-01T21:37:33.440Z,2023-11-01T14:37:33.440000-07:00,,
2:37:33.54 PM,NAN,,,,Calm,False,False,2023-11-01T21:37:33.540Z,2023-11-01T14:37:33.540000-07:00,,
